Id_Tabla,Levdireccion,Levdirnum,Levpropietario,Levtelefono,Lev_Sticker,Levnombreestablecimiento,DistanciaEnMetros,Match
133,97%,94%,47%,0%,0%,100%,3,1
134,97%,100%,42%,0%,0%,100%,,1
135,87%,89%,52%,0%,0%,100%,1,1
136,87%,82%,56%,0%,0%,93%,,1
137,93%,88%,39%,0%,0%,100%,19,1
138,76%,89%,48%,0%,0%,73%,,1
139,100%,100%,60%,0%,0%,78%,8,1
140,100%,100%,46%,0%,100%,100%,,1
141,83%,89%,48%,0%,0%,100%,16,1
142,97%,94%,60%,0%,0%,67%,9,1
143,82%,100%,81%,0%,100%,46%,4,1
144,100%,100%,62%,0%,0%,100%,,1
145,87%,89%,57%,0%,0%,46%,,1
146,80%,78%,49%,0%,0%,94%,16,1
147,75%,85%,56%,0%,100%,33%,,1
148,100%,100%,51%,0%,0%,100%,5,1
149,97%,94%,47%,0%,0%,53%,15,1
150,100%,100%,47%,0%,0%,100%,5,1
151,70%,67%,42%,0%,0%,89%,5,1
152,86%,89%,46%,0%,0%,58%,,1
153,97%,94%,58%,0%,0%,58%,7,1
154,80%,100%,42%,0%,0%,42%,,1
155,97%,94%,54%,0%,100%,53%,17,1
156,100%,100%,44%,0%,0%,100%,1,1
157,100%,100%,56%,0%,0%,88%,,1
158,97%,100%,61%,0%,0%,52%,10,1
159,73%,89%,54%,0%,0%,94%,27,1
160,58%,100%,46%,0%,0%,48%,,1
161,73%,100%,56%,0%,0%,36%,4,1
162,100%,100%,41%,0%,0%,39%,,1
163,100%,100%,49%,0%,0%,39%,,1
164,100%,100%,45%,0%,0%,89%,,1
165,100%,100%,41%,0%,100%,100%,,1
166,78%,100%,41%,0%,0%,55%,,1
167,94%,85%,58%,0%,0%,100%,43,1
168,96%,93%,51%,0%,0%,48%,42,1
169,100%,92%,52%,0%,100%,46%,12,1
170,100%,100%,39%,0%,0%,48%,,1
171,95%,94%,50%,0%,0%,33%,29,1
172,96%,93%,49%,0%,0%,30%,2,1
173,100%,100%,50%,0%,0%,88%,,1
174,96%,93%,47%,0%,0%,54%,13,1
175,100%,100%,49%,0%,0%,0%,,1
176,71%,100%,47%,0%,0%,97%,,1
177,88%,88%,53%,0%,100%,100%,,1
178,98%,95%,54%,0%,0%,59%,,1
179,79%,93%,58%,0%,100%,74%,2,1
180,97%,100%,56%,0%,100%,46%,,1
181,96%,85%,43%,0%,0%,46%,35,1
182,80%,88%,43%,0%,0%,43%,4,1
183,98%,95%,42%,0%,0%,47%,1,1
184,79%,86%,54%,0%,0%,100%,3,1
185,96%,93%,43%,0%,0%,55%,4,1
186,97%,93%,44%,0%,0%,52%,5,1
187,74%,67%,55%,0%,0%,91%,12,1
188,96%,93%,50%,0%,0%,56%,13,1
189,96%,93%,50%,0%,0%,38%,12,1
190,92%,91%,47%,0%,0%,100%,4,1
191,97%,100%,57%,0%,0%,92%,9,1
192,65%,90%,37%,0%,0%,63%,,1
193,94%,100%,56%,0%,0%,40%,20,1
194,100%,100%,49%,0%,0%,95%,,1
195,100%,100%,49%,0%,0%,35%,16,1
196,100%,100%,50%,0%,0%,59%,,1
197,83%,100%,42%,0%,0%,43%,13,1
198,97%,100%,51%,0%,0%,44%,11,1
199,100%,100%,32%,0%,0%,100%,36,1
200,95%,100%,41%,0%,0%,56%,,1
201,100%,100%,40%,0%,0%,50%,15,1
202,95%,100%,48%,0%,0%,53%,8,1
203,100%,100%,62%,0%,0%,46%,15,1
204,100%,100%,71%,0%,0%,48%,1,1
205,81%,88%,70%,0%,0%,61%,5,1
206,100%,100%,54%,0%,100%,0%,16,1
207,100%,100%,74%,0%,100%,50%,,1
208,94%,94%,40%,0%,0%,48%,15,1
209,100%,100%,49%,0%,0%,52%,,1
210,97%,100%,69%,0%,100%,47%,,1
211,97%,94%,43%,0%,0%,0%,12,1
212,100%,100%,60%,0%,100%,0%,1,1
213,100%,100%,38%,0%,0%,39%,1,1
214,88%,94%,76%,0%,100%,47%,10,1
215,58%,81%,56%,0%,0%,98%,36,1
216,95%,100%,57%,0%,0%,59%,21,1
217,100%,100%,53%,0%,0%,63%,5,1
218,100%,100%,53%,0%,0%,68%,23,1
219,97%,94%,45%,0%,0%,58%,9,1
220,97%,94%,44%,0%,0%,50%,3,1
221,81%,100%,41%,0%,0%,37%,23,1
222,97%,94%,49%,0%,0%,69%,23,1
223,100%,100%,52%,0%,0%,90%,15,1
224,95%,100%,45%,0%,0%,46%,5,1
225,97%,100%,38%,0%,0%,42%,24,1
226,81%,100%,76%,0%,0%,100%,,1
227,100%,100%,65%,0%,0%,100%,30,1
228,100%,100%,47%,0%,0%,59%,9,1
229,76%,100%,58%,0%,0%,59%,1,1
230,91%,94%,61%,0%,0%,42%,2,1
231,94%,100%,53%,0%,0%,66%,,1
232,71%,100%,67%,0%,0%,46%,32,1
233,100%,100%,50%,0%,0%,21%,,1
234,89%,100%,70%,0%,0%,58%,11,1
235,100%,100%,48%,0%,0%,47%,,1
236,94%,94%,65%,0%,0%,100%,16,1
237,94%,93%,55%,0%,100%,53%,4,1
238,100%,100%,50%,0%,0%,70%,15,1
239,83%,88%,44%,0%,0%,44%,,1
240,94%,100%,53%,0%,0%,62%,,1
241,100%,100%,71%,0%,0%,54%,11,1
242,100%,100%,65%,0%,0%,46%,3,1
243,71%,100%,53%,0%,0%,56%,10,1
244,76%,78%,69%,0%,0%,46%,44,1
245,97%,94%,50%,0%,0%,57%,31,1
246,100%,100%,51%,0%,0%,46%,7,1
247,100%,100%,40%,0%,100%,20%,1,1
248,58%,62%,41%,0%,0%,91%,6,1
249,96%,100%,62%,0%,100%,100%,8,1
250,100%,100%,49%,100%,0%,53%,1,1
251,85%,93%,65%,0%,0%,50%,2,1
252,97%,93%,43%,0%,0%,56%,,1
253,100%,100%,51%,0%,0%,50%,5,1
254,94%,92%,74%,0%,0%,61%,,1
255,100%,100%,58%,0%,100%,59%,20,1
256,100%,100%,33%,0%,0%,20%,14,1
