Id_Tabla,Levdireccion,Levdirnum,Levpropietario,Levtelefono,Lev_Sticker,Levnombreestablecimiento,DistanciaEnMetros,Match
2457,82%,88%,51%,0%,0%,100%,21,1
2458,87%,92%,55%,0%,0%,54%,41,1
2459,96%,93%,63%,0%,0%,100%,9,1
2460,100%,100%,51%,0%,0%,100%,,1
2461,82%,86%,51%,0%,100%,68%,35,1
2462,94%,100%,46%,0%,0%,43%,5,1
2463,78%,79%,57%,0%,0%,100%,4,1
2464,81%,89%,50%,0%,0%,0%,15,1
2465,100%,93%,56%,0%,0%,16%,1,1
2466,97%,100%,54%,0%,0%,59%,,1
2467,94%,94%,45%,0%,0%,49%,,1
2468,100%,100%,35%,0%,0%,53%,15,1
2469,95%,94%,53%,0%,100%,60%,6,1
2470,92%,93%,55%,0%,0%,83%,,1
2471,96%,100%,55%,0%,0%,92%,4,1
2472,100%,100%,49%,0%,100%,73%,8,1
2473,94%,94%,47%,0%,0%,50%,37,1
2474,97%,93%,43%,0%,0%,0%,14,1
2475,80%,100%,43%,0%,0%,100%,,1
2476,94%,92%,49%,0%,100%,57%,,1
2477,84%,100%,56%,0%,0%,86%,1,1
2478,97%,94%,58%,0%,0%,56%,6,1
2479,95%,85%,53%,0%,0%,95%,1,1
2480,84%,88%,38%,0%,0%,56%,5,1
2481,97%,100%,46%,0%,0%,0%,29,1
2482,95%,94%,41%,0%,0%,36%,5,1
2483,100%,100%,49%,0%,0%,42%,11,1
2484,100%,100%,42%,0%,0%,53%,,1
2485,100%,100%,50%,0%,0%,73%,,1
2486,97%,94%,54%,0%,0%,49%,34,1
2487,96%,100%,46%,0%,0%,44%,8,1
2488,100%,100%,49%,0%,100%,100%,5,1
2489,97%,100%,44%,0%,0%,53%,11,1
2490,84%,100%,58%,0%,0%,40%,,1
2491,86%,93%,48%,0%,0%,87%,8,1
2492,92%,94%,46%,0%,0%,36%,12,1
2493,86%,94%,79%,0%,0%,31%,12,1
2494,100%,100%,47%,0%,0%,94%,45,1
2495,83%,83%,49%,0%,0%,73%,9,1
2496,97%,73%,58%,0%,0%,47%,13,1
2497,100%,100%,59%,0%,0%,86%,,1
2498,97%,94%,53%,0%,0%,53%,10,1
2499,91%,88%,39%,0%,0%,96%,36,1
2500,85%,86%,47%,0%,0%,100%,1,1
2501,93%,94%,65%,0%,0%,73%,,1
2502,100%,100%,44%,0%,0%,46%,,1
2503,85%,90%,58%,0%,0%,96%,,1
2504,72%,100%,47%,0%,0%,74%,,1
2505,86%,88%,43%,0%,0%,71%,1,1
2506,91%,100%,62%,0%,0%,57%,41,1
2507,100%,94%,54%,0%,0%,48%,1,1
2508,94%,94%,49%,0%,0%,51%,15,1
2509,88%,87%,49%,0%,0%,53%,37,1
2510,100%,100%,51%,0%,100%,86%,,1
2511,97%,95%,49%,0%,0%,93%,,1
2512,100%,100%,50%,0%,0%,49%,,1
2513,92%,100%,63%,0%,0%,73%,3,1
2514,72%,92%,71%,0%,0%,46%,4,1
2515,80%,88%,44%,0%,0%,100%,1,1
2516,95%,93%,40%,0%,0%,91%,18,1
2517,90%,100%,59%,0%,0%,60%,,1
2518,92%,100%,38%,0%,0%,59%,10,1
2519,76%,100%,49%,0%,0%,54%,15,1
2520,94%,100%,52%,0%,0%,78%,14,1
2521,97%,94%,43%,0%,0%,40%,16,1
2522,94%,93%,49%,0%,100%,65%,3,1
2523,84%,100%,46%,0%,0%,59%,1,1
2524,96%,100%,61%,0%,0%,41%,1,1
2525,97%,94%,39%,0%,0%,41%,9,1
2526,100%,100%,50%,0%,0%,48%,12,1
2527,71%,100%,75%,0%,0%,50%,5,1
2528,100%,100%,46%,0%,0%,47%,19,1
2529,75%,100%,49%,0%,0%,43%,28,1
2530,100%,100%,41%,0%,0%,0%,,1
2531,100%,100%,43%,0%,0%,100%,1,1
2532,94%,100%,53%,0%,0%,63%,5,1
2533,100%,93%,44%,0%,0%,47%,,1
2534,75%,89%,52%,0%,0%,100%,29,1
2535,75%,83%,52%,0%,0%,92%,18,1
2536,97%,94%,55%,0%,0%,55%,9,1
2537,79%,82%,49%,0%,0%,46%,44,1
2538,100%,100%,45%,0%,0%,67%,10,1
2539,86%,83%,63%,0%,0%,52%,21,1
2540,85%,100%,53%,0%,0%,0%,18,1
2541,78%,83%,56%,0%,0%,64%,21,1
2542,81%,89%,44%,0%,100%,50%,1,1
2543,88%,80%,56%,0%,0%,100%,27,1
2544,94%,100%,44%,0%,0%,35%,16,1
2545,78%,83%,52%,0%,0%,56%,14,1
2546,97%,94%,53%,0%,0%,36%,13,1
2547,94%,100%,40%,0%,0%,42%,11,1
2548,100%,100%,56%,0%,0%,91%,14,1
2549,84%,100%,50%,0%,0%,50%,23,1
2550,100%,100%,45%,0%,0%,91%,,1
2551,81%,82%,44%,0%,0%,40%,,1
2552,91%,100%,85%,0%,0%,50%,,1
2553,77%,100%,43%,0%,0%,100%,,1
2554,100%,100%,56%,0%,0%,65%,6,1
2555,100%,100%,38%,0%,0%,41%,18,1
2556,84%,89%,50%,0%,0%,100%,17,1
2557,91%,88%,54%,0%,0%,100%,16,1
2558,91%,91%,55%,0%,0%,52%,15,1
2559,97%,93%,43%,0%,0%,44%,13,1
2560,89%,94%,45%,0%,0%,47%,11,1
2561,96%,85%,60%,0%,0%,32%,13,1
2562,100%,100%,45%,0%,0%,50%,11,1
2563,94%,92%,48%,0%,0%,68%,10,1
2564,97%,94%,58%,0%,0%,100%,1,1
2565,81%,88%,48%,0%,0%,92%,11,1
2566,80%,82%,46%,0%,100%,78%,11,1
2567,93%,88%,45%,0%,100%,0%,,1
2568,97%,100%,56%,0%,100%,35%,1,1
2569,86%,94%,49%,0%,0%,55%,2,1
2570,91%,100%,41%,0%,0%,73%,,1
2571,97%,100%,67%,0%,0%,53%,,1
2572,100%,100%,59%,0%,0%,100%,6,1
2573,100%,89%,52%,0%,100%,59%,,1
2574,100%,100%,49%,0%,0%,43%,7,1
2575,94%,100%,44%,0%,100%,53%,25,1
2576,97%,100%,59%,0%,100%,53%,6,1
2577,79%,100%,38%,0%,0%,52%,6,1
2578,89%,100%,41%,0%,0%,94%,6,1
2579,100%,93%,53%,0%,0%,100%,7,1
2580,95%,100%,54%,0%,0%,98%,28,1
2581,100%,100%,54%,0%,0%,50%,,1
2582,100%,100%,46%,0%,0%,38%,,1
2583,100%,100%,47%,0%,0%,59%,12,1
2584,80%,78%,50%,0%,0%,82%,7,1
2585,63%,63%,56%,0%,100%,100%,14,1
2586,87%,89%,53%,0%,0%,80%,,1
2587,100%,100%,44%,0%,0%,44%,25,1
2588,80%,83%,50%,0%,0%,89%,4,1
2589,97%,100%,51%,0%,100%,70%,9,1
2590,97%,93%,63%,0%,0%,56%,1,1
2591,78%,100%,57%,0%,0%,100%,2,1
2592,76%,78%,48%,0%,0%,71%,,1
2593,84%,88%,69%,0%,0%,97%,10,1
2594,93%,93%,0%,0%,0%,50%,,1
2595,82%,100%,54%,0%,0%,39%,,1
2596,100%,100%,56%,0%,0%,44%,7,1
2597,57%,63%,65%,0%,0%,57%,21,1
2598,100%,100%,52%,0%,100%,53%,,1
2599,76%,79%,46%,0%,100%,58%,,1
2600,96%,100%,39%,0%,100%,88%,23,1
2601,97%,94%,51%,0%,0%,58%,34,1
2602,93%,100%,5%,0%,0%,96%,1,1
2603,97%,100%,43%,0%,0%,38%,,1
2604,97%,95%,53%,0%,0%,54%,,1
2605,94%,100%,47%,0%,0%,50%,,1
2606,37%,90%,54%,0%,0%,100%,,1
2607,64%,64%,42%,0%,0%,59%,10,1
2608,100%,100%,49%,0%,100%,55%,,1
2609,82%,100%,42%,0%,0%,54%,,1
2610,100%,86%,49%,0%,0%,57%,1,1
2611,91%,91%,50%,0%,0%,45%,10,1
2612,94%,92%,62%,0%,0%,52%,10,1
2613,83%,100%,54%,0%,0%,100%,,1
2614,92%,100%,48%,0%,0%,44%,,1
2615,94%,90%,49%,0%,0%,100%,5,1
2616,89%,90%,54%,0%,0%,100%,6,1
2617,84%,100%,54%,0%,100%,53%,,1
2618,100%,100%,38%,0%,0%,50%,,1
2619,97%,92%,43%,0%,0%,73%,44,1
2620,68%,79%,43%,0%,0%,94%,6,1
2621,82%,93%,48%,0%,0%,100%,2,1
2622,100%,100%,51%,0%,0%,96%,,1
2623,97%,100%,39%,0%,0%,60%,,1
2624,74%,89%,46%,0%,0%,45%,14,1
2625,78%,100%,51%,0%,0%,52%,5,1
2626,83%,89%,46%,0%,0%,56%,,1
2627,97%,94%,54%,0%,0%,100%,14,1
2628,97%,100%,85%,0%,0%,100%,,1
2629,97%,100%,42%,0%,0%,0%,28,1
2630,88%,88%,43%,0%,0%,90%,41,1
2631,64%,63%,79%,0%,0%,48%,25,1
2632,100%,100%,37%,0%,0%,0%,,1
2633,97%,100%,56%,0%,0%,100%,1,1
2634,94%,100%,53%,0%,0%,56%,,1
2635,100%,94%,43%,0%,100%,100%,,1
2636,84%,83%,38%,0%,0%,76%,28,1
2637,72%,100%,35%,0%,0%,43%,25,1
2638,96%,94%,54%,0%,0%,100%,10,1
2639,96%,93%,42%,0%,100%,76%,11,1
2640,100%,100%,79%,0%,100%,0%,,1
2641,96%,94%,51%,0%,0%,59%,34,1
2642,56%,56%,39%,0%,0%,90%,39,1
2643,93%,94%,51%,0%,0%,40%,8,1
2644,81%,100%,49%,0%,0%,53%,29,1
2645,100%,100%,49%,0%,0%,53%,,1
2646,94%,93%,48%,0%,0%,41%,6,1
2647,86%,89%,58%,0%,0%,100%,,1
2648,100%,100%,40%,0%,0%,100%,,1
2649,100%,100%,48%,0%,0%,48%,22,1
2650,97%,100%,44%,0%,0%,39%,,1
2651,84%,89%,54%,0%,100%,100%,,1
2652,37%,68%,47%,0%,0%,100%,2,1
2653,80%,100%,63%,0%,0%,48%,9,1
2654,100%,100%,50%,0%,0%,59%,,1
2655,76%,82%,54%,0%,100%,100%,9,1
2656,100%,100%,53%,0%,0%,100%,8,1
2657,68%,100%,57%,0%,0%,65%,3,1
2658,100%,100%,50%,0%,0%,50%,,1
2659,90%,100%,57%,0%,0%,63%,16,1
2660,92%,100%,56%,0%,0%,80%,14,1
2661,85%,100%,55%,0%,0%,92%,,1
2662,100%,100%,47%,0%,0%,83%,4,1
2663,73%,93%,50%,0%,0%,53%,12,1
2664,84%,100%,100%,0%,0%,50%,6,1
2665,92%,87%,52%,0%,0%,50%,9,1
2666,82%,83%,62%,0%,0%,37%,5,1
2667,100%,100%,64%,0%,0%,62%,,1
2668,97%,93%,49%,0%,0%,5%,,1
2669,100%,100%,45%,0%,0%,100%,,1
2670,73%,72%,48%,0%,0%,100%,24,1
2671,100%,100%,58%,0%,0%,88%,,1
2672,76%,81%,48%,0%,0%,81%,42,1
2673,74%,94%,50%,0%,100%,89%,2,1
2674,72%,88%,53%,0%,100%,96%,30,1
2675,97%,100%,57%,0%,0%,46%,,1
2676,97%,95%,43%,0%,0%,63%,5,1
2677,94%,100%,50%,0%,0%,50%,1,1
2678,96%,87%,49%,0%,100%,77%,,1
2679,79%,87%,45%,0%,0%,88%,38,1
2680,92%,100%,48%,0%,0%,59%,32,1
2681,100%,100%,56%,0%,0%,60%,20,1
2682,94%,100%,53%,0%,0%,88%,11,1
2683,94%,94%,65%,0%,0%,57%,,1
2684,100%,100%,51%,0%,0%,59%,1,1
2685,97%,94%,60%,0%,0%,53%,13,1
2686,94%,89%,48%,0%,0%,93%,34,1
2687,97%,100%,60%,0%,100%,46%,4,1
2688,100%,100%,44%,0%,0%,92%,7,1
2689,89%,94%,58%,0%,0%,100%,15,1
2690,86%,100%,63%,0%,0%,36%,,1
2691,92%,89%,38%,0%,0%,100%,16,1
2692,92%,100%,48%,0%,0%,50%,16,1
2693,59%,63%,52%,0%,0%,86%,11,1
2694,91%,85%,47%,0%,100%,100%,8,1
2695,81%,89%,67%,0%,0%,53%,6,1
2696,96%,100%,45%,0%,0%,91%,36,1
2697,97%,100%,53%,0%,0%,96%,,1
2698,100%,93%,53%,0%,0%,62%,23,1
2699,100%,100%,45%,0%,0%,100%,,1
2700,97%,94%,48%,0%,0%,59%,23,1
2701,91%,89%,47%,0%,0%,96%,1,1
2702,93%,93%,45%,0%,0%,100%,,1
2703,100%,93%,57%,0%,0%,94%,4,1
2704,84%,89%,41%,0%,0%,50%,10,1
2705,89%,88%,46%,0%,100%,88%,,1
2706,75%,80%,35%,0%,0%,59%,,1
2707,90%,88%,60%,0%,0%,64%,8,1
2708,100%,100%,36%,0%,0%,100%,,1
2709,100%,100%,94%,0%,0%,42%,,1
2710,100%,100%,52%,0%,0%,100%,10,1
2711,76%,100%,58%,0%,0%,33%,1,1
2712,93%,88%,53%,0%,0%,35%,10,1
2713,97%,100%,56%,0%,0%,100%,8,1
2714,93%,94%,53%,0%,0%,38%,,1
2715,97%,100%,43%,0%,0%,83%,,1
2716,100%,100%,49%,0%,0%,61%,,1
2717,79%,100%,45%,0%,0%,43%,45,1
2718,82%,75%,45%,0%,0%,44%,32,1
2719,86%,100%,97%,0%,0%,42%,8,1
2720,97%,88%,52%,0%,0%,50%,,1
2721,67%,75%,54%,0%,100%,69%,10,1
2722,97%,93%,62%,0%,0%,100%,7,1
2723,92%,94%,56%,0%,0%,46%,17,1
2724,92%,100%,40%,0%,0%,85%,1,1
2725,80%,88%,48%,0%,0%,87%,3,1
2726,97%,100%,43%,0%,0%,87%,1,1
2727,87%,100%,47%,0%,0%,46%,,1
2728,84%,89%,40%,0%,0%,48%,25,1
2729,78%,100%,45%,0%,0%,96%,31,1
2730,100%,100%,41%,0%,0%,40%,29,1
2731,91%,88%,45%,0%,0%,44%,7,1
2732,93%,100%,49%,0%,0%,48%,45,1
2733,96%,100%,47%,0%,0%,43%,19,1
2734,97%,100%,49%,0%,100%,46%,17,1
2735,80%,88%,44%,0%,100%,85%,,1
2736,84%,100%,59%,0%,0%,50%,8,1
2737,70%,83%,53%,0%,0%,64%,12,1
2738,96%,93%,49%,0%,0%,67%,5,1
2739,83%,100%,76%,0%,0%,53%,,1
2740,74%,89%,58%,0%,0%,100%,32,1
2741,89%,100%,63%,0%,0%,50%,13,1
2742,97%,93%,48%,0%,100%,47%,1,1
2743,96%,100%,43%,0%,0%,65%,43,1
2744,100%,100%,51%,0%,0%,41%,10,1
2745,83%,100%,45%,0%,100%,61%,,1
2746,93%,94%,50%,100%,0%,53%,,1
2747,78%,83%,52%,0%,100%,95%,5,1
2748,88%,91%,50%,0%,0%,100%,1,1
2749,97%,94%,43%,0%,0%,43%,12,1
2750,82%,93%,49%,0%,100%,79%,1,1
2751,100%,93%,60%,0%,0%,100%,,1
2752,85%,89%,66%,0%,0%,61%,,1
2753,100%,100%,54%,0%,0%,73%,,1
2754,97%,94%,60%,0%,0%,100%,14,1
2755,71%,64%,53%,0%,0%,100%,30,1
2756,100%,100%,54%,0%,100%,95%,3,1
2757,100%,100%,43%,0%,0%,75%,,1
2758,84%,78%,50%,0%,0%,85%,20,1
2759,100%,100%,45%,0%,0%,92%,14,1
2760,81%,100%,46%,0%,0%,46%,27,1
2761,100%,100%,46%,0%,0%,94%,,1
2762,100%,100%,54%,0%,100%,93%,6,1
2763,84%,100%,59%,0%,0%,53%,11,1
2764,100%,100%,41%,0%,0%,10%,33,1
2765,100%,100%,52%,0%,0%,100%,1,1
2766,95%,100%,62%,0%,0%,52%,9,1
2767,94%,93%,0%,0%,0%,52%,20,1
2768,100%,100%,57%,0%,0%,61%,,1
2769,94%,93%,61%,0%,0%,26%,14,1
2770,97%,95%,49%,0%,100%,36%,17,1
2771,93%,93%,41%,0%,0%,58%,44,1
2772,100%,100%,40%,0%,100%,55%,1,1
2773,100%,100%,42%,0%,100%,63%,,1
2774,97%,91%,48%,0%,0%,55%,4,1
2775,78%,83%,49%,0%,0%,100%,1,1
2776,93%,94%,52%,0%,0%,100%,1,1
2777,79%,100%,42%,0%,0%,71%,9,1
2778,90%,100%,41%,0%,0%,100%,33,1
2779,91%,100%,47%,0%,0%,50%,10,1
2780,100%,100%,49%,0%,0%,10%,,1
2781,96%,94%,60%,0%,0%,100%,,1
2782,81%,100%,79%,0%,0%,100%,1,1
2783,89%,79%,41%,0%,0%,56%,2,1
2784,97%,100%,100%,0%,0%,47%,27,1
2785,68%,100%,52%,0%,0%,37%,9,1
2786,78%,83%,4%,0%,0%,100%,1,1
2787,71%,84%,46%,0%,0%,83%,1,1
2788,94%,93%,46%,100%,0%,71%,22,1
2789,83%,87%,53%,0%,0%,76%,32,1
2790,83%,82%,55%,0%,0%,82%,16,1
2791,92%,87%,59%,0%,0%,100%,26,1
2792,100%,100%,57%,0%,0%,87%,12,1
2793,100%,100%,57%,0%,0%,67%,,1
2794,100%,100%,40%,0%,100%,92%,,1
2795,100%,94%,63%,0%,0%,43%,25,1
2796,84%,89%,58%,0%,0%,100%,,1
2797,93%,80%,49%,0%,0%,16%,4,1
2798,100%,100%,45%,0%,0%,100%,,1
2799,76%,90%,44%,0%,0%,100%,,1
2800,100%,100%,50%,0%,0%,100%,17,1
2801,86%,94%,46%,0%,0%,53%,27,1
2802,88%,94%,39%,0%,0%,53%,2,1
2803,83%,88%,57%,0%,0%,60%,22,1
2804,100%,100%,52%,0%,0%,45%,,1
2805,96%,88%,42%,0%,0%,43%,8,1
2806,96%,100%,52%,0%,0%,54%,,1
2807,91%,93%,47%,0%,0%,38%,4,1
2808,94%,100%,44%,0%,0%,48%,31,1
2809,67%,78%,56%,0%,0%,96%,7,1
2810,91%,88%,57%,0%,0%,71%,10,1
2811,58%,61%,42%,0%,0%,71%,32,1
2812,100%,93%,47%,0%,0%,100%,1,1
2813,100%,100%,61%,0%,100%,100%,,1
2814,88%,89%,41%,0%,0%,97%,8,1
2815,100%,100%,44%,0%,0%,61%,,1
2816,97%,87%,62%,0%,0%,52%,34,1
2817,92%,94%,62%,0%,0%,53%,17,1
2818,76%,100%,45%,0%,0%,53%,21,1
2819,97%,100%,57%,0%,0%,73%,,1
2820,94%,95%,44%,0%,0%,36%,,1
2821,92%,100%,51%,0%,100%,57%,28,1
2822,92%,94%,59%,0%,0%,45%,,1
2823,85%,90%,49%,0%,0%,52%,,1
2824,84%,100%,44%,0%,0%,93%,,1
2825,97%,93%,44%,0%,0%,54%,5,1
2826,92%,100%,41%,0%,0%,50%,10,1
2827,66%,61%,44%,0%,0%,88%,21,1
2828,84%,100%,39%,0%,0%,92%,,1
2829,100%,93%,55%,0%,0%,56%,6,1
2830,100%,100%,48%,0%,0%,69%,4,1
2831,97%,100%,51%,0%,0%,20%,3,1
2832,78%,100%,52%,0%,0%,63%,,1
2833,92%,100%,48%,100%,0%,87%,,1
2834,94%,100%,56%,0%,0%,76%,3,1
2835,97%,100%,42%,0%,100%,73%,7,1
2836,97%,100%,50%,0%,100%,54%,,1
2837,100%,100%,49%,0%,0%,41%,1,1
2838,100%,100%,49%,0%,0%,0%,,1
2839,94%,100%,41%,0%,0%,78%,,1
2840,86%,90%,49%,0%,0%,100%,3,1
2841,100%,100%,57%,0%,0%,93%,1,1
2842,80%,88%,41%,0%,100%,36%,4,1
2843,86%,94%,50%,0%,100%,93%,2,1
2844,97%,100%,50%,0%,0%,43%,13,1
2845,79%,89%,45%,0%,0%,100%,3,1
2846,100%,100%,53%,0%,0%,50%,10,1
2847,100%,100%,61%,0%,0%,82%,,1
2848,95%,94%,53%,0%,0%,72%,6,1
2849,66%,64%,50%,0%,0%,90%,13,1
2850,100%,100%,42%,0%,0%,0%,,1
2851,100%,100%,50%,0%,0%,53%,,1
2852,97%,100%,100%,0%,100%,0%,3,1
2853,72%,75%,67%,0%,0%,100%,8,1
2854,100%,100%,45%,0%,0%,93%,23,1
2855,90%,86%,50%,0%,0%,100%,19,1
2856,100%,100%,57%,0%,0%,100%,9,1
2857,100%,100%,49%,0%,0%,42%,,1
2858,96%,94%,53%,0%,0%,38%,27,1
2859,100%,100%,50%,0%,0%,39%,,1
2860,83%,89%,47%,0%,0%,45%,18,1
2861,95%,93%,50%,0%,0%,83%,16,1
2862,100%,100%,51%,0%,0%,48%,,1
2863,87%,89%,50%,0%,0%,100%,1,1
2864,97%,94%,53%,0%,0%,32%,5,1
2865,100%,100%,42%,0%,0%,8%,4,1
2866,97%,100%,43%,0%,0%,44%,,1
2867,100%,93%,54%,0%,0%,56%,4,1
2868,97%,96%,51%,0%,0%,50%,1,1
2869,74%,83%,50%,0%,0%,100%,,1
2870,100%,100%,41%,0%,0%,87%,,1
2871,14%,25%,44%,0%,0%,100%,10,1
2872,83%,88%,44%,0%,100%,96%,,1
2873,100%,100%,45%,0%,0%,42%,43,1
2874,97%,94%,58%,0%,0%,52%,13,1
2875,100%,100%,46%,0%,0%,33%,,1
2876,86%,100%,42%,0%,0%,63%,,1
2877,79%,89%,49%,0%,0%,100%,11,1
2878,83%,89%,42%,0%,0%,100%,,1
2879,97%,94%,48%,0%,0%,100%,7,1
2880,60%,65%,64%,0%,0%,52%,2,1
2881,100%,100%,81%,0%,100%,52%,,1
2882,96%,94%,45%,0%,0%,47%,3,1
2883,81%,86%,42%,0%,0%,100%,,1
2884,85%,88%,50%,0%,0%,20%,,1
2885,83%,88%,39%,0%,0%,80%,27,1
2886,90%,86%,49%,0%,100%,89%,9,1
2887,83%,88%,49%,0%,0%,63%,12,1
2888,100%,92%,55%,0%,100%,48%,,1
2889,91%,100%,51%,0%,0%,58%,29,1
2890,97%,93%,50%,0%,0%,56%,13,1
2891,100%,93%,52%,0%,0%,0%,15,1
2892,89%,100%,59%,0%,0%,44%,1,1
2893,97%,93%,50%,0%,0%,68%,,1
2894,100%,100%,54%,0%,0%,56%,,1
2895,90%,94%,38%,0%,0%,100%,,1
2896,97%,100%,59%,0%,0%,71%,,1
2897,71%,89%,49%,0%,0%,37%,,1
2898,91%,100%,49%,0%,0%,27%,9,1
2899,97%,94%,53%,0%,0%,46%,3,1
2900,81%,89%,80%,0%,0%,20%,,1
2901,74%,83%,39%,0%,0%,93%,2,1
2902,80%,78%,43%,0%,0%,88%,28,1
2903,100%,100%,41%,0%,100%,95%,,1
2904,100%,100%,50%,0%,0%,83%,44,1
2905,92%,94%,48%,0%,0%,57%,2,1
2906,100%,100%,50%,0%,0%,100%,1,1
2907,100%,100%,53%,0%,100%,95%,,1
2908,100%,100%,35%,0%,0%,30%,,1
2909,96%,100%,68%,0%,0%,57%,,1
2910,80%,88%,54%,0%,0%,100%,,1
2911,100%,100%,43%,0%,0%,48%,11,1
2912,97%,94%,42%,0%,0%,55%,13,1
2913,79%,86%,74%,0%,0%,96%,2,1
2914,83%,78%,61%,0%,0%,100%,13,1
2915,100%,100%,45%,0%,0%,58%,,1
2916,100%,100%,52%,0%,0%,54%,28,1
2917,100%,100%,78%,0%,100%,50%,,1
2918,96%,92%,46%,0%,0%,59%,5,1
2919,97%,92%,51%,0%,100%,60%,7,1
2920,97%,100%,42%,0%,100%,33%,40,1
2921,100%,100%,38%,0%,0%,78%,18,1
2922,83%,100%,47%,0%,0%,43%,18,1
2923,100%,100%,31%,0%,0%,100%,3,1
2924,90%,100%,52%,0%,0%,61%,,1
2925,86%,100%,54%,0%,0%,34%,20,1
2926,100%,94%,54%,0%,0%,0%,,1
2927,79%,100%,40%,0%,0%,48%,1,1
2928,92%,100%,56%,0%,0%,61%,8,1
2929,86%,88%,55%,0%,0%,92%,16,1
2930,94%,100%,51%,0%,0%,46%,33,1
2931,83%,100%,41%,0%,0%,61%,,1
2932,100%,100%,47%,0%,0%,53%,,1
2933,100%,100%,51%,0%,0%,47%,12,1
2934,93%,100%,45%,0%,0%,100%,,1
2935,94%,94%,56%,0%,0%,56%,11,1
2936,93%,100%,62%,0%,0%,45%,28,1
2937,100%,100%,48%,0%,0%,13%,,1
2938,100%,100%,39%,0%,0%,66%,22,1
2939,86%,100%,51%,0%,0%,46%,,1
2940,100%,100%,40%,0%,0%,38%,11,1
2941,100%,100%,52%,0%,0%,42%,,1
2942,97%,93%,40%,0%,0%,44%,24,1
2943,100%,100%,45%,0%,100%,0%,16,1
2944,100%,100%,53%,0%,0%,43%,10,1
2945,93%,100%,50%,0%,0%,57%,,1
2946,81%,89%,47%,0%,0%,67%,,1
2947,100%,100%,51%,0%,0%,50%,,1
2948,83%,89%,67%,0%,0%,55%,5,1
2949,92%,88%,50%,0%,100%,100%,7,1
2950,96%,93%,60%,0%,0%,50%,9,1
2951,97%,100%,47%,0%,0%,53%,36,1
2952,93%,94%,44%,0%,0%,92%,5,1
2953,63%,88%,59%,0%,100%,90%,30,1
2954,96%,94%,45%,0%,0%,55%,8,1
2955,92%,80%,49%,0%,0%,89%,13,1
2956,97%,93%,53%,0%,0%,80%,42,1
2957,61%,65%,43%,0%,100%,84%,21,1
2958,100%,100%,39%,0%,0%,19%,,1
2959,71%,100%,54%,0%,0%,55%,1,1
2960,79%,100%,50%,0%,0%,56%,,1
2961,79%,100%,47%,0%,0%,56%,,1
2962,98%,94%,57%,0%,0%,56%,24,1
2963,100%,100%,46%,0%,0%,71%,14,1
2964,100%,100%,44%,0%,0%,71%,20,1
2965,84%,89%,54%,0%,0%,86%,4,1
2966,96%,93%,38%,0%,0%,65%,8,1
2967,78%,83%,50%,0%,0%,70%,12,1
2968,78%,83%,44%,0%,0%,95%,6,1
2969,94%,100%,68%,0%,0%,96%,29,1
2970,86%,88%,54%,0%,0%,43%,1,1
2971,85%,93%,47%,0%,0%,89%,13,1
2972,96%,100%,50%,0%,0%,100%,1,1
2973,88%,94%,40%,0%,0%,89%,8,1
2974,94%,93%,61%,0%,0%,48%,39,1
2975,73%,70%,51%,0%,0%,50%,1,1
2976,81%,100%,55%,0%,0%,41%,8,1
2977,96%,100%,58%,0%,0%,67%,,1
2978,100%,100%,41%,0%,0%,65%,,1
2979,62%,69%,38%,0%,0%,100%,9,1
2980,95%,94%,42%,0%,0%,80%,1,1
2981,100%,100%,50%,0%,0%,79%,,1
2982,91%,100%,53%,0%,0%,41%,11,1
2983,93%,100%,54%,0%,100%,97%,6,1
2984,87%,93%,52%,0%,100%,50%,,1
2985,77%,100%,47%,0%,0%,53%,7,1
2986,100%,100%,45%,0%,0%,52%,,1
2987,100%,100%,54%,0%,100%,100%,39,1
2988,94%,100%,49%,0%,0%,45%,1,1
2989,91%,94%,46%,0%,100%,100%,23,1
2990,65%,62%,50%,0%,100%,100%,11,1
2991,80%,80%,49%,0%,0%,100%,,1
2992,97%,100%,46%,0%,0%,92%,,1
2993,87%,86%,53%,0%,0%,79%,18,1
2994,93%,100%,50%,0%,0%,100%,,1
2995,82%,85%,53%,0%,0%,95%,3,1
2996,87%,100%,43%,0%,0%,88%,14,1
2997,88%,100%,39%,0%,0%,47%,19,1
2998,93%,94%,50%,0%,0%,88%,1,1
2999,84%,100%,49%,0%,0%,39%,25,1
3000,100%,100%,45%,0%,100%,0%,,1
3001,91%,100%,45%,0%,0%,56%,24,1
3002,97%,94%,46%,0%,0%,50%,4,1
3003,67%,100%,37%,0%,100%,100%,11,1
3004,81%,89%,56%,0%,0%,100%,2,1
3005,97%,95%,41%,0%,0%,52%,13,1
3006,88%,88%,53%,0%,0%,100%,3,1
3007,93%,100%,51%,0%,0%,50%,,1
3008,100%,100%,44%,0%,0%,42%,22,1
3009,100%,100%,49%,0%,0%,96%,1,1
3010,100%,100%,45%,0%,0%,40%,,1
3011,79%,80%,50%,0%,0%,50%,1,1
3012,69%,71%,53%,0%,0%,100%,5,1
3013,100%,100%,71%,0%,100%,100%,,1
3014,100%,100%,45%,0%,100%,40%,,1
3015,96%,100%,49%,0%,0%,100%,1,1
3016,84%,89%,52%,0%,0%,57%,9,1
3017,97%,100%,34%,0%,0%,75%,4,1
3018,100%,100%,50%,0%,0%,43%,,1
3019,95%,94%,48%,0%,0%,71%,2,1
3020,97%,100%,63%,0%,0%,100%,1,1
